"","pval.biased"
"TSPAN6",0.0352858730511071
"DPM1",0.091805354794324
"SCYL3",0.0673796301251221
"C1orf112",0.475383819079338
"FGR",0.857353619506856
"CFH",0.424701055825641
"FUCA2",0.405733274018725
"GCLC",0.627503332216215
"NFYA",0.0307986888737887
"STPG1",0.436071895225987
