"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"GNG10",0.0373266951533445,0.962673304846655,0.0475191762384518,0.812242737857227,0.158930834868739
"OSBP",0.0375292380467025,0.962470761953298,0.484802749356436,0.832614632743999,0.75678518692749
"RPS2P5",0.0377383145817816,0.962261685418218,0.0246252956472879,0.64798045134397,0.438466162269526
"POLR3A",0.0377644491486665,0.962235550851333,0.224515530466371,0.76720634547284,0.518738484456466
"GLE1",0.0381434003684974,0.961856599631503,0.631986096410417,0.894017797640049,0.798659296718805
"SFT2D1",0.0382806068446431,0.961719393155357,0.330327858141571,0.777379225632783,0.397428358618527
"LHX2",0.038600755288983,0.961399244711017,0.0840683680269708,0.300547519176238,0.615103166202778
"ARHGEF3",0.0395546669802814,0.960445333019719,0.345374835025547,0.640022475727521,0.627072797836058
"SPATC1L",0.0397637435153606,0.960236256484639,0.016027023142159,0.886928796372522,0.589275680478785
"CYP4X1",0.0399662864087185,0.960033713591282,0.32225227697414,0.47300952604963,0.816973094463392
"CDKL5",0.0403779058371555,0.959622094162844,0.140218484979158,0.807904399754335,0.379206031858037
"RIPK2",0.0403844394788767,0.959615560521123,0.348726593228534,0.633528035856626,0.855835195421224
"WFDC1",0.0405151123133012,0.959484887686699,0.0522364655611744,0.508127850301201,0.480516680387314
"TMTC2",0.0405804487305134,0.959419551269487,0.311452167208959,0.733100735688058,0.285409071308166
"SEC61B",0.0406392515060044,0.959360748493996,0.0756791720569211,0.620022998418859,0.326263932990971
"FITM2",0.040717655206659,0.959282344793341,0.376004547414638,0.521704757797901,0.734211454780666
"BMS1",0.0416911678231212,0.958308832176879,0.392443189985234,0.580193918486286,0.303435388817019
"MREG",0.0418414415827094,0.958158558417291,0.21536843205666,0.901047996132084,0.456590484404197
"ZNF781",0.0418675761495942,0.958132423850406,0.0733205273955597,0.775680478785265,0.580886484508735
"REPS1",0.0420766526846734,0.957923347315327,0.437466515086179,0.689331869797588,0.47119317365113
"EPB41",0.0420897199681158,0.957910280031884,0.157898519476786,0.819534282018111,0.144060266311237
"PARP2",0.0422138591608191,0.957786140839181,0.194251702013668,0.957864544539836,0.428352084885073
"SCN5A",0.0422857292197525,0.957714270780248,0.0273236896781528,0.933814209364015,0.222483567891071
"PHOSPHO2",0.0426908150064683,0.957309184993532,0.260803376586042,0.959432618552929,0.416892077306049
"SDSL",0.0427561514236805,0.95724384857632,0.0363858507454885,0.876527238752336,0.439204463784024
"ZNRD1",0.0428345551243352,0.957165444875665,0.138670011891228,0.398049054582043,0.652560534190547
"PRKN",0.0428476224077776,0.957152377592222,0.52677486377357,0.97461680191305,0.818743711369843
"ARHGAP5.AS1",0.0429260261084323,0.957073973891568,0.179792752884603,0.512727534072942,0.710703411867707
"PER2",0.0429586943170385,0.957041305682962,0.924209756033818,0.898303866609171,0.50753328890457
"TACC1",0.0431351026435114,0.956864897356489,0.396853398147059,0.95617886497576,0.545343473545285
"TMEM254.AS1",0.0432723091196571,0.956727690880343,0.221477387066003,0.690076704953807,0.907542436002979
"NDUFB6",0.0433376455368694,0.956662354463131,0.0189214264246605,0.732865524586094,0.294209886706653
"ARHGAP32",0.0434879192964575,0.956512080703543,0.13643550642257,0.931089680766266,0.971389182902766
"NR2C2AP",0.0438472695911247,0.956152730408875,0.0935682830896285,0.639957139310309,0.946522142511793
"LLGL2",0.0448991859082415,0.955100814091759,0.066342598037294,0.747834097769415,0.159597266324304
"TMEM55A",0.0454741463797091,0.954525853620291,0.194212500163341,0.642877677159695,0.475890862048689
"RORB",0.0455460164386425,0.954453983561357,0.244430070432658,0.628052844094241,0.912004913298574
"NEDD9",0.0456048192141336,0.954395180785866,0.167633645641408,0.886288499483842,0.91016242633319
"RPS13",0.0456962901982307,0.954303709801769,0.0562546552197264,0.237105858063167,0.307623453160322
"NUP43",0.0458596312412612,0.954140368758739,0.266468043958341,0.46071974597201,0.988918943640806
"LPAR6",0.0460164386425705,0.95398356135743,0.105381107321599,0.867504279535327,0.132920407176552
"DNAH17",0.0461536451187162,0.953846354881284,0.0728762397585166,0.772799142786206,0.0312961438446562
"SWI5",0.0461797796856012,0.953820220314399,0.0473100997033726,0.397467560468854,0.871973290472644
"LYPD1",0.0468984802749356,0.953101519725064,0.404870176538999,0.593326538345943,0.146288238138173
"TSPYL1",0.0470030185424752,0.952996981457525,0.267898911495289,0.485260104276922,0.923053301449162
"FGL2",0.0472708978530453,0.952729102146955,0.140682373541364,0.978458583245129,0.158512681798581
"HAUS1",0.0474277052543547,0.952572294745645,0.164536699465548,0.728716662093117,0.696322866439296
"PARP3",0.0474407725377971,0.952559227462203,0.111509663256106,0.935571758987024,0.361950684072288
"CABP7",0.0478066564741856,0.952193343525814,0.112855593450678,0.70724711539718,0.223450546865812
"TRPC5",0.0478654592496766,0.952134540750323,0.13002600389405,0.780502306375528,0.5113293347446
"AGBL4",0.0484208187959805,0.95157918120402,0.406993610098397,0.626824519450651,0.691396500581494
"CBLL1",0.0486756308231082,0.951324369176892,0.242718256301697,0.519548656029898,0.336266938466162
"LOC644554",0.0488259045826963,0.951174095417304,0.200118912279326,0.715564441308296,0.548192141335738
"USP32P2",0.048936976491957,0.951063023508043,0.00520731245181438,0.0285781488886275,0.694343172997765
"RAB32",0.0489565774171208,0.951043422582879,0.232022684804056,0.780574176434461,0.338762789603669
"FAM161B",0.0491525866687574,0.950847413331243,0.316509205901185,0.514498150979393,0.605394174605041
"WDR53",0.0493355286369517,0.950664471363048,0.120277810445986,0.356593097860886,0.866850915363205
"LSM11",0.049492336038261,0.950507663961739,0.370437884668156,0.683392789472997,0.538509284304886
"ZNF177",0.0502241039110379,0.949775896088962,0.232760986318554,0.703653612450508,0.937950004573549
"PLPP6",0.0503613103871836,0.949638689612816,0.375573327061037,0.724848746194154,0.34144158270937
"FAF2",0.0503939785957898,0.94960602140421,0.44441830987756,0.657963855893998,0.713885295385942
"PARM1",0.0504266468043958,0.949573353195604,0.377801298887974,0.830190651665425,0.837789276987207
"RPL22L1",0.0504527813712807,0.949547218628719,0.0641799626275693,0.921530962928117,0.310073568805781
"BTRC",0.0507141270401297,0.94928587295987,0.324486782442798,0.992584316646412,0.852313562533485
"NKRF",0.0507337279652933,0.949266272034707,0.196603813033309,0.541730369673449,0.706410809256864
"MRPL33",0.0510734773347968,0.948926522665203,0.0143609445032472,0.836299606674768,0.0499954264507951
"RPS6",0.0514458949129065,0.948554105087093,0.136925529551661,0.663974806277523,0.802919231121042
"S100A13",0.0514785631215127,0.948521436878487,0.106171677969867,0.45056646673723,0.868791406954408
"KIF6",0.0518836489082285,0.948116351091772,0.0186143452637632,0.541462490362878,0.0279705202085538
"ASPA",0.0519620526088831,0.948037947391117,0.0456244201392972,0.977354397794243,0.02351457655468
"NFIL3",0.052046989951259,0.947953010048741,0.772609667176291,0.890006141623218,0.98808263750049
"FMC1",0.0522168646360108,0.947783135363989,0.0263501770616906,0.390064944398709,0.50710860219269
"HLA.DRB1",0.0523736720373201,0.94762632796268,0.000516157695976571,0.549132985743594,0.189606282749879
"ZNF543",0.052458609379696,0.947541390620304,0.316437335842252,0.754727089785305,0.666764671292485
"PLA2G7",0.0526611522730539,0.947338847726946,0.124936296993218,0.913461915402407,0.235897134344741
"LOC101927752",0.0527330223319874,0.947266977668013,0.192579089733035,0.587439727155122,0.822951376638311
"ZNF597",0.0528898297332967,0.947110170266703,0.406921740039463,0.643655180524521,0.778555281142603
"MPP7",0.0529486325087878,0.947051367491212,0.127602022815477,0.53815646765194,0.501019248108511
"COPS9",0.0529682334339514,0.947031766566049,0.0841141035190194,0.598716792765952,0.254315470356868
"TMEM101",0.0532099781776366,0.946790021822363,0.173540057757393,0.889633724045108,0.673572725965999
"ZNF726",0.0533145164451763,0.946685483554824,0.267212879114561,0.303311249624316,0.638121185986645
"BMPER",0.0537000013067284,0.946299998693272,0.397310753067545,0.362329635292119,0.371052046989951
"FANCB",0.0537261358736132,0.946273864126387,0.124714153174696,0.660466240673226,0.209109203287729
"RNF144A.AS1",0.0537914722908255,0.946208527709175,0.450063376324696,0.95564310635462,0.820873678570962
"ACER2.1",0.0539286787669712,0.946071321233029,0.0484077515125381,0.868993949847766,0.407398695885112
"CTDSPL",0.0539678806172985,0.946032119382701,0.501260992852196,0.127974440393587,0.921093208932795
"CNTNAP2",0.0539874815424621,0.946012518457538,0.160093823095117,0.947848471781201,0.598181034144812
