"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"8017","CIART",0.757153464231463,2.37340869966035,1.92808179818571,3.62659130033965,0.47911788359988,3.26682086060348e-06,0.0454545454544368
"4524","OPRL1",0.36976201313206,1.38601627588641,4.40384502523687,4.61398372411359,0.344174445437148,9.80046258181044e-06,0.0681818181816553
"10732","PER1",0.55348385234792,0.607181241483683,4.06845615381747,5.39281875851632,0.281609492926646,1.63341043030174e-05,0.0757575757573947
"547","PER3",0.309333600905148,23.9876469394828,4.86086416576686,6.01235306051723,0.25134348122571,2.28677460242244e-05,0.0795454545452645
"2551","DBP",0.350566077726838,1.70042029667235,3.99986372702327,4.29957970332765,0.236481717542866,2.94013877455424e-05,0.0818181818182953
"5332","ARNTL",0.187758107040998,12.9193364192596,5.65423372068769,17.0806635807404,0.236250212322183,3.59350294667493e-05,0.0833333333333917
"171","CRY1",0.195254452259345,16.3382189434302,4.26203504887186,13.6617810565698,0.22549059645128,4.24686711879563e-05,0.0844155844156034
"4181","PDZRN3",0.224202555286818,1.95827031230717,5.06403674153366,4.04172968769283,0.220934344924919,4.90023129091632e-05,0.0852272727272622
"5154","PER2",0.38500485667793,22.2865010744208,4.36459488657726,7.71349892557916,0.215654016867156,6.20695963515772e-05,0.0959595959595383
"4622","NR1D1",0.557600693748332,1.90512986243039,2.78727787795804,4.09487013756961,0.207609355852085,8.16705215153091e-05,0.111570247933899
"4192","CAT",0.243287582722584,11.4661054460656,5.46505044607078,-5.46610544606564,0.206864069090426,8.8204163236516e-05,0.111570247933899
"5366","BHLHE40",0.331424057865409,23.5237404794748,4.75757920518936,6.47625952052516,0.192298609360203,0.000114338730121344,0.129370629370677
"3224","MAN1A1",0.256648795640719,14.971830883956,6.29890175241051,15.028169116044,0.188689558646343,0.000120872371842662,0.129370629370677
"4190","CRY2",0.160824240570084,0.331204160475402,6.53690780282621,5.6687958395246,0.187027452160925,0.00014700693872749,0.139204545454502
"7656","DKK2",0.281165458983308,11.5344963869617,3.18034353731644,-5.53449638696169,0.183716472882847,0.000153540580448697,0.139204545454502
"9147","ANKDD1A",0.201445557632524,21.4105500943534,4.0963033522873,8.58944990564659,0.183184106950731,0.000160074222169904,0.139204545454502
